title,author,id
杂曲歌辞 潇湘神二曲 一,刘禹锡
惜玉蘂花有怀集贤王校书起,白居易
出妓金陵子呈卢六四首 一,李白
竹,罗隐
杂曲歌辞 上皇三台,韦应物
雨,杜牧
竹,贾岛
秋浦歌十七首 十四,李白
秋浦歌十七首 十五,李白
秋浦歌十七首 十六,李白
行军九日思长安故园,岑参
古风 二十八,李白
遣兴三首 三,杜甫
巴陵别刘处士,王昌龄
连州吟 三,孟郊
续古诗十首 四,白居易
六月三日夜闻蝉,白居易
寄远十一首 七,李白
帝子歌,李贺
望夫山,刘禹锡
塞下曲六首 四,李白
哭吕衡州六首 六,元稹
拟古十二首 十一,李白
送梓州高参军还京,卢照邻
和吴侍御被使燕然,卢照邻
送郭少府探得忧字,骆宾王
松江送处州奚使君,刘禹锡
生春二十首 十二,元稹
生春二十首 十三,元稹
感樱桃花因招饮客,白居易
冬末投长沙裴侍郎,杜荀鹤
咏廿四气诗 秋分八月中,元稹
姑孰十咏 望夫山,李白
访戴天山道士不遇,李白
诸官游招隐寺,王昌龄
哭明堂裴主簿,卢照邻
献封大夫破播仙凯歌六首 二,岑参
有木诗八首 六,白居易
南湖早春,白居易
山居自遣,杜荀鹤
九日登高,王昌龄
和酬虢州李司法,杨炯
浔阳秋怀赠许明府,白居易
长安送友人游湖南,杜牧
莫愁,李商隐
春雪,韩愈
斑竹,元稹
瑶瑟,杜牧
子规,杜牧
小松,杜荀鹤
琴曲歌辞  渌水辞,李贺
听琴,罗隐
戏赠陆大夫十二丈 一,孟郊
戏赠陆大夫十二丈 三,孟郊
春词,元稹
强酒,白居易
荅春,白居易
秋热,白居易
柳絮,白居易
云和,白居易
负春,白居易
问鹤,白居易
阴雨,白居易
七夕,白居易
送人,杜牧
秋感,杜牧
青冢,杜牧
寓题,杜牧
即事,杜牧
端居,李商隐
夜半,李商隐
月夕,李商隐
鸳鸯,李商隐
西亭,李商隐
失猿,李商隐
假日,李商隐
韦蟾,李商隐
送僧,贾岛
